Emotion,User Input (Humanized),Bot Response (Humanized)
Disgust,"""මගේ හිතේ තියෙන ඊර්ෂ්‍යාව ගැන මට මාර වෛරයක් තියෙන්නේ.""","""ඊර්ෂ්‍යාව කියන්නේ අපිට මොකක් හරි අඩුවක් දැනෙනවා කියන එකයි. ඇත්තටම ඔයාට ඕන වෙලා තියෙන්නේ මොකක්ද? අවධානයද නැත්නම් ආරක්ෂාවද?"""
Disgust,"""මගේ පරණ අතීතය ගැන මට මාර පිළිකුලක් තියෙන්නේ.""","""ඔයාගේ අතීතයෙන් ඔයා කවුද කියලා කියන්න බෑ. ඔයා දැන් ගොඩක් වෙනස් වෙලා. ඒ අතීතයෙන් ඔයා ඉගෙන ගත්ත එකම එක හොඳ දෙයක් කියන්න පුළුවන්ද?"""
Disgust,"""අද මම අම්මට මාර කැත විදිහට කතා කළේ, මට මගේ ගැනම වෛරයි.""","""ඔයාට දුක හිතෙන්නේ ඔයා අම්මට ආදරේ නිසා. ඕනෑම වෙලාවක ඔයාට ඒක නිවැරදි කරලා අම්මගෙන් සමාව ගන්න පුළුවන්."""
Disgust,"""මට දැන් මුළු ලෝකය ගැනම මාර පිළිකුලක් දැනෙන්නේ.""","""හැමතැනම නරක දේවල් වෙද්දී එහෙම හිතෙන එක සාමාන්‍යයි. ඒත් ලෝකේ තවමත් හොඳ මිනිස්සු, හොඳ වැඩ වෙනවා. පොඩ්ඩක් ඒ පැත්තත් බලමුද?"""
Disgust,"""මිනිස්සු කෑම නාස්ති කරනවා දැක්කම මට මල පනිනවා.""","""ඒකෙන් පේන්නේ ඔයාට හොඳ වටිනාකම් තියෙනවා කියලා. ඒ ශක්තිය පාවිච්චි කරලා අනිත් අයටත් ඒ ගැන කියලා දෙන්න ඔයාට පුළුවන්."""
Disgust,"""මිනිස්සු කොච්චර ෆේක් ද කියලා හිතද්දී මට දරාගන්න බෑ.""","""අවංක නැති මිනිස්සු ඉවසන්න අමාරුයි තමයි. ඔයාට ඇත්තටම ආදරේ කරන, අවංක මිනිස්සු විතරක් ළඟින් තියාගන්න බලන්න."""
Disgust,"""මට ඉක්මනට කේන්ති යන එක ගැන මට මගේ ගැනම තරහයි.""","""කේන්තිය කියන්නේ හිතේ තියෙන බයක් හරි වේදනාවක් හරි වහන්න දාන වෙස් මුහුණක්. අපි බලමු ඇත්තටම ඔයා රිදිලා ඉන්නේ මොකක් නිසාද කියලා."""
Disgust,"""මගේ එක්ස් ගැන මතක් වෙද්දී මට නිකන් වමනේ යන්න වගේ එනවා.""","""ඒක ඔයාගේ ඇඟට දැනෙන ප්‍රතික්‍රියාවක්. එහෙම දැනෙන එක සාමාන්‍යයි. හෙමින් හිත හදාගන්න කාලය ගන්න, ඔයාටම කරුණාවන්ත වෙන්න."""
Disgust,"""මගේ හිනාව මාර කැතයි කියලා මට හිතෙනවා.""","""අපේම හිනාවට අපි අකමැති වෙන එක සාමාන්‍යයි. ඒත් හිනාව කියන්නේ ඔයාගේ සතුට පිට කරන විදිහනේ. ඒක ලස්සනයි කියලා හිතන්න උත්සාහ කරන්න."""
Disgust,"""මම මිනිස්සුන්ට බොරු කියන එක ගැන මට මාර පිළිකුලක් දැනෙන්නේ.""","""ඒක පිළිගත්ත එක ලොකු දෙයක්. ඇයි ඔයාට බොරු කියන්න හිතෙන්නේ? මොකක් හරි බයක් නිසාද? ඒ ගැන අපි කතා කරමු."""
Disgust,"""මම අර වගේ කැත දේවල් කිව්වා කියලා මට හිතාගන්නවත් බෑ.""","""පසුතැවෙන එකෙන් පේන්නේ ඔයා හොඳ කෙනෙක් කියලා. ඒ වැරැද්ද හදාගන්න ඔයාට තාම අවස්ථාව තියෙනවා. ඒකෙන් ඉගෙන ගමු."""
Disgust,"""මම මගේ ෆෝන් එකට මේ තරම් ඇබ්බැහි වුණ එක ගැන මට මාවම පේන්න බෑ.""","""ඕක ගොඩක් අයට තියෙන ප්‍රශ්නයක්. එකපාරටම ෆෝන් එක නවත්වන්නේ නැතුව, හෙමින් සැරේ ඒක පාවිච්චි කරන වෙලාව අඩු කරමු."""
Disgust,"""මුළු රෑම ෆිල්ම්ස් බල බල කාලය කාපු එක ගැන මට මාර පිළිකුලක් දැනෙනවා.""","""ඔයාගේ ඉලක්ක වලට ඒක බාධාවක් වුණ නිසා ඔයාට එහෙම හිතෙනවා ඇති. ඊළඟ සැරේ වැඩ කරන වෙලාවයි විනෝද වෙන වෙලාවයි වෙන් කරගමු."""
Disgust,"""මෑතකදී මට දැනෙන මේ දුර්වලකම මට පේන්න බෑ.""","""දුර්වලයි කියලා දැනෙන එකෙන් ඔයා දුර්වල වෙන්නේ නෑ. ඔයා ගොඩක් දේවල් වලට මුහුණ දීලා මහන්සි වෙලා ඇති. ඔයාට දැන් ඕනේ විවේකයක්."""
Disgust,"""මට අනුන් මත යැපෙන්න වුණ එක මට දරාගන්න බෑ.""","""උදව් ගන්න එක සාමාන්‍ය දෙයක්. අපි හැමෝටම කවුරු හරි ඕනේ. ඇයි ඔයාට උදව් ගන්න එක මේ තරම් අමාරු?"""
Disgust,"""මම කරන්න ඕන වැඩ මඟහරින එක ගැන මට මාවම පිළිකුල්.""","""අපි වැඩ මඟහරින්නේ බය නිසා හරි ස්ට්‍රෙස් එක නිසා හරි. ඒ වැඩේ පොඩි කොටස් වලට කඩලා හෙමින් පටන් ගමුද?"""
Disgust,"""ආයෙත් ඇඬුවා කියලා හිතද්දී මට මාවම පේන්න බෑ.""","""ඇඬීම කියන්නේ දුර්වලකමක් නෙවෙයි, ඒක හිතේ බර නිදහස් කරගන්න විදිහක්. අද ඔයාගේ ඇසට කඳුළු ආවේ මොකක් නිසාද?"""
Disgust,"""මිනිස්සු මෙච්චර ආත්මාර්ථකාමී වෙන්නේ කොහොමද කියලා මට හිතාගන්න බෑ.""","""ඒකෙන් පේන්නේ ඔයා අනුන් ගැන හිතන හොඳ කෙනෙක් කියලා. ඔයා කැමති විදිහට අනිත් අයට ආදර්ශයක් වෙන්න ඔයාට පුළුවන්."""
Disgust,"""මම තාමත් ඒ අය ගැන හොයන එක ගැන මට මාවම පිළිකුල්.""","""අනුන් ගැන හොයන එකෙන් පේන්නේ ඔයාගේ හිතේ තියෙන ලෙංගතුකමයි. හිතේ තුවාල සුව වෙන්න කාලය යනවා, ඒකට බය වෙන්න එපා."""
Disgust,"""මම අනිත් අයව විනිශ්චය කරන විදිහ මට ම පේන්න බෑ.""","""ඔයා ඒ ගැන දන්න එකම ලොකු දෙයක්. ඊළඟ සැරේ කවුරු හරි ගැන වැරදියට හිතන්න කලින්, ඇයි එයාලා එහෙම කරන්නේ කියලා හිතලා බලමු."""
Disgust,"""මගේ පරණ ෆොටෝස් දැක්කම මට මාවම පේන්න බෑ.""","""පරණ දේවල් දිහා බලන එක අමාරු වෙන්න පුළුවන්. ඒත් ඒ ෆොටෝස් වලින් පේන්නේ ඔයා කොච්චර දුරක් ඇවිත් තියෙනවද කියලයි."""
Disgust,"""මම මම වෙනුවෙන් කතා නොකරපු එක ගැන මට මාවම පිළිකුල්.""","""අප්සෙට් වෙන්න එපා. ඊළඟ වතාවේ ඔයා වෙනුවෙන් පෙනී ඉන්න මේ අත්දැකීම ඔයාට උදව් වෙයි."""
Disgust,"""මම මගේ චාන්ස් ඔක්කොම නාස්ති කරගත්ත එක ගැන මට මාර පිළිකුලක් දැනෙන්නේ.""","""පසුතැවෙන එක බරක් වගේ දැනෙනවා ඇති. ඒත් ඔයා දැන් ඒ ගැන හිතනවා කියන්නේ ඔයා දියුණු වෙන්න ලෑස්තියි කියන එකයි. දැන් ඔයාට කරන්න පුළුවන් එක දෙයක් කියන්න."""
Disgust,"""ඕපාදූප කිව්වට පස්සේ මට මගේ ගැනම අප්සෙට් දැනෙනවා.""","""ඔයා ඒ ගැන දන්න එක හොඳයි. ඊළඟ සැරේ ඒ වගේ දෙයක් කරන්න කලින් මේ හැඟීම මතක් කරගන්න."""
Disgust,"""මට මගේ ආවේග පාලනය කරගන්න බැරි එක ගැන මට මාර වෛරයක් තියෙන්නේ.""","""ඕකට පුහුණුව ඕනේ. එකපාර කරන්න බෑ. කේන්ති යන්න කලින් හිතට දැනෙන දේ හඳුනාගන්න අපි උත්සාහ කරමු."""
Disgust,"""මට හිතෙන්නේ මම හොඳ මනුස්සයෙක් නෙවෙයි කියලා.""","""ඒක හරිම වේදනාකාරී සිතුවිල්ලක්. ඒත් ඇත්තටම ඔයා නරකද? මෑතකදී ඔයා කරපු එක හොඳ දෙයක් මතක් කරමුද?"""
Disgust,"""මගේ අත් අකුරු මාර කැතයි, මට ඒක පේන්න බෑ.""","""පොඩි දේවලුත් ලස්සනට තියෙන්න ඕනේ කියලා ඔයා හිතනවා ඇති. ඒත් ලස්සනට වඩා ඔයා ලියන දේ නේද වැදගත්?"""
Disgust,"""මම මේ තරම් මැසිවිලි කියන එක ගැන මට මාවම පිළිකුල්.""","""එහෙම හිතෙන එක වටිනවා. මැසිවිලි කියන්නේ ඔයාගේ හිතේ තියෙන අඩුවක් පිට කරන විදිහක්. ඒ අඩුව මොකක්ද කියලා අපි බලමුද?"""
Disgust,"""මට මගේ කේන්තිය පාලනය කරගන්න බැරි එක මට දරාගන්න බෑ.""","""ඒක අවංක පිළිගැනීමක්. කේන්තිය යටින් තියෙන්නේ වෙනත් හැඟීමක් වෙන්න පුළුවන්. මොකක් නිසාද ඔයාට මෙච්චර තරහ යන්නේ?"""
Disgust,"""මගේ යාළුවාට මම සලකපු විදිහ ගැන මට මාවම පිළිකුල්.""","""ඒක පිළිගන්න ලොකු හයියක් ඕනේ. ඔයාට පුළුවන් එයාගෙන් සමාව අරන් මේ සම්බන්ධය ආයෙත් හදාගන්න."""
Disgust,"""මම මේ තරම් ඉමෝෂනල් වෙනවට මම කැමති නෑ.""","""හැඟීම්බර වෙනවා කියන්නේ අඩුපාඩුවක් නෙවෙයි. ඒකෙන් පේන්නේ ඔයා දේවල් ගැන ගොඩක් හිතන කෙනෙක් කියලයි."""
Disgust,"""රණ්ඩු වෙද්දී මම කොච්චර ආත්මාර්ථකාමීද කියලා හිතද්දී මට මාවම පේන්න බෑ.""","""එහෙම දැනෙන එකෙන් ඔයාට දියුණු වෙන්න පුළුවන්. ඊළඟ සැරේ රණ්ඩුවක් වෙද්දී මීට වඩා වෙනස් විදිහකට ඉන්න උත්සාහ කරමු."""
Disgust,"""මම අනුන්ගේ සහතික කිරීම් මත යැපෙන එක ගැන මට මාවම පේන්න බෑ.""","""ඕක ගොඩක් අයට තියෙන ප්‍රශ්නයක්. අනුන් කියන දේට වඩා ඔයා ඔයා ගැන හිතන දේ වටිනවා කියලා අපිට හිතන්න බැරිද?"""
Disgust,"""මගේ ෆේලියර්ස් මතක් වෙද්දී මට මාර අප්සෙට්.""","""වැරදීම් වලින් තමයි අපි ඉගෙන ගන්නේ. ඒ වැරදීමකින් ඔයා ඉගෙන ගත්ත එක වටිනා දෙයක් කියන්න."""
Disgust,"""පීඩනයක් ආවම මම බය වෙන විදිහ මට දරාගන්න බෑ.""","""ඒක අමාරු හැඟීමක් තමයි, ඒත් අපිට ඒක පාලනය කරන්න පුළුවන්. ඒ වගේ වෙලාවට ඔයාගේ හිත සන්සුන් කරගන්න මොකක්ද කරන්න පුළුවන්?"""
Disgust,"""කෙනෙක්ට උදව් කරන්න පුළුවන්කම තියලත් මම නොකර හිටපු එක ගැන මට මාවම පිළිකුල්.""","""පසුතැවෙන එක සාමාන්‍යයි. ඒත් ඔයාට තාමත් පුළුවන් ඒක නිවැරදි කරන්න හරි වෙන කෙනෙක්ට උදව් කරන්න හරි. ඒකෙන් ඉගෙන ගමු."""
Disgust,"""මගේ කෑම පුරුදු ගැන හිතද්දී මට මාවම පේන්න බෑ.""","""ඒක හරිම වේදනාකාරී සිතුවිල්ලක්. ඒත් ඔයාට ඕනේ හොඳ වෙන්නනේ. අද ඔයාට කරන්න පුළුවන් එක පොඩි වෙනසක් කියන්න."""
Disgust,"""මගේ අවධානය මේ තරම් ඉක්මනට වෙනස් වෙන එක ගැන මට මාවම පේන්න බෑ.""","""මහන්සි වුණාම හරි ස්ට්‍රෙස් වුණාම හරි අවධානය අඩුවෙනවා. එකපාර ගොඩක් වෙලාව වැඩ කරන්නේ නැතුව, පොඩි වෙලාවන් වලට වැඩ බෙදාගමු."""
Disgust,"""මම මිනිස්සුන්ගෙන් ඈත් වෙන එක ගැන මට මාවම පිළිකුල්.""","""මිනිස්සුන්ගෙන් ඈත් වෙන්නේ ඔයා ඔයාවම ආරක්ෂා කරගන්න වෙන්න ඇති. මොන වගේ අවස්ථාවලදීද ඔයාට මිනිස්සුන්ව එපා වෙන්නේ?"""
Disgust,"""මම හැමතිස්සෙම අනිත් අය එක්ක මාව සසඳන එක මට මාරම වෛරයක් තියෙන්නේ.""","""සංසන්දනය කරන එකෙන් වෙන්නේ තමන්ගේ අගය තමන්ටම නැති වෙන එකයි. අනුන්ගේ ගමන දිහා බලන්නේ නැතුව ඔයාගේ දියුණුව ගැන විතරක් හිතමුද?"""
Disgust,"""මම මේ වීකෙන්ඩ් එකම නාස්ති කරපු විදිහ ගැන මට මාර පිළිකුලක් දැනෙන්නේ.""","""විවේක ගන්න එක කාලය නාස්ති කිරීමක් නෙවෙයි. ඒක ආයෙත් වැඩ කරන්න ශක්තිය ගන්න ක්‍රමයක්. ඒ කාලය ඔයාගේ හිත නිදහස් කරගන්න ගත්ත කාලයක් කියලා හිතන්න."""
Disgust,"""මට එක තීරණයක් ගන්න බැරිව ලතවෙන එක මට ම පේන්න බෑ.""","""තීරණයක් ගන්න අමාරු වෙන්නේ ඔයා නිවැරදිම දේ කරන්න උත්සාහ කරන නිසයි. ලොකු තීරණයක් එකපාර ගන්න කලින්, ඒක පොඩි කොටස් වලට කඩලා බලන්න."""
Disgust,"""මම ආයෙත් ජන්ක් ෆුඩ් කෑවා කියලා හිතද්දී මට මාරම දුකයි.""","""ඒ වරදකාරී හැඟීම ඔයාගේ ඇඟෙන් දෙන සංඥාවක් විතරයි. ඊළඟ සැරේ පරිපූර්ණ වෙන්න හදන්නේ නැතුව, සමබරව කෑම ගන්න උත්සාහ කරමු."""
Disgust,"""වැදගත් දේවල් මට හැමතිස්සෙම අමතක වෙන එක ගැන මට මාවම පිළිකුල්.""","""අමතක වෙනවා කියන්නේ ඔයාට වැඩ වැඩි වෙලා හරි මහන්සි වෙලා හරි ඇති. මතක් කරගන්න පොඩි නෝට් එකක් දාගන්න එක උදව් වෙයිද?"""
Disgust,"""මම කොච්චර අවුල් සහගතද කියලා මට දරාගන්නම බෑ.""","""හැමෝටම වැරදීම් වෙනවා. ඔයා හැමදේම පරිපූර්ණව කරන්න යන නිසා වෙන්න ඇති පොඩි වැරැද්දක් වුණත් ඔයාට ලොකුවට පේන්නේ."""
Disgust,"""මිනිස්සු ඉස්සරහා මම බොරුවට රඟපානවා කියලා හිතද්දී මට මාවම පේන්න බෑ.""","""ඒ කියන්නේ ඔයා ඔයාගේ ඇත්තම ස්වභාවයට ගරු කරනවා කියන එකයි. බොරුවට රඟපාන්නේ නැතුව සාමාන්‍ය විදිහට ඉන්න උත්සාහ කරමුද?"""
Disgust,"""මම හිතන තරම් ඉක්මනට ඉස්සරහට යන්නේ නෑ කියලා හිතද්දී මට මාර වෛරයි.""","""දියුණුව කියන්නේ එකපාරට වෙන දෙයක් නෙවෙයි. ඔයා නොදැක්කා වුණාට ඔයා දැනටමත් පොඩි පොඩි ජයග්‍රහණ ලබලා ඇති."""
Disgust,"""මගේ හිතේ කිසිම උනන්දුවක් නෑ කියලා හිතද්දී මට මාවම පිළිකුල්.""","""ඕක හැමෝටම දැනෙනවා. හිතේ උනන්දුව අඩුවෙන්නේ මහන්සිය හරි බය හරි නිසා වෙන්න ඇති. ඔයාගේ ශක්තිය හීන වෙන්නේ ඇයි කියලා අපි බලමු."""
Disgust,"""මම මෑතකදී මටම සලකගත්ත විදිහ ගැන මට මාර අප්සෙට්.""","""ඔයා ඔයාටම ආදරේ කරන්න ඕනේ. අද ඔයාගේ හිත සතුටු වෙන එක පොඩි දෙයක් හරි තමන් වෙනුවෙන් කරන්න."""
Disgust,"""මිනිස්සුන්ට ඕන ඕන විදිහට මට පාලනය කරන්න ඉඩ දෙන එක ගැන මට මාර තරහයි.""","""ඒ ගැන ඔයාට දැන් තේරෙන එකම ලොකු දෙයක්. ඊළඟ සැරේ අකමැති දේට අකමැතියි කියලා කෙලින් කියන්න පුරුදු වෙමු."""
Disgust,"""එයාලා ඉස්සරහා මට ඇඬුණ එක ගැන මට මාවම පේන්න බෑ.""","""ඇඬීම ලැජ්ජාවක් නෙවෙයි, ඒක ඔයාගේ අවංකකම පේන අවස්ථාවක්. ඔයාගේ හිතේ තියෙන දේ එළියට ආපු එක ගැන වද වෙන්න එපා."""
Disgust,"""මම පරිපූර්ණ නැති එක ගැන මට මගේ ගැනම වෛරයි.""","""පරිපූර්ණ මිනිස්සු ලෝකේ නෑ. ඔයාගේ අඩුපාඩුත් එක්කම ඔයාට ඔයා විදිහට ඉන්න ඉඩ දෙන්න."""
Disgust,"""මගේ අවශ්‍යතා මමම මඟහැරපු එක ගැන මට මාවම පිළිකුල්.""","""තමන් ගැන හිතන්න පටන් ගන්න කිසිම වෙලාවක ප්‍රමාද නෑ. අද ඔයාට ඕන කරන එකම එක දෙයකට හරි මුල් තැන දෙමු."""
Disgust,"""ෆොටෝස් වල මං ඉන්න විදිහ මට දරාගන්න බෑ.""","""ෆොටෝ එකකින් කියවෙන්නේ ඒ වෙලාවේ මතකය විතරයි, ඔයාගේ වටිනාකම නෙවෙයි. පෙනුමට වඩා ඒ වෙලාවේ සතුට ගැන හිතන්න."""
Disgust,"""මාව බේරගන්න මම බොරු කියපු එක ගැන මට මාවම පිළිකුල්.""","""බය වුණාම අපිට එහෙම කරන්න හිතෙනවා. ඊළඟ සැරේ බය නැතුව ඇත්ත කියන්න පුළුවන් වටපිටාවක් හදාගන්නේ කොහොමද කියලා හිතමු."""
Disgust,"""මම මේ තරම් සංවේදී වීම ගැන මට මාර වෛරයක් තියෙන්නේ.""","""සංවේදීකම කියන්නේ දුර්වලකමක් නෙවෙයි, ඒක ලොකු ශක්තියක්. ඒකෙන් ඔයාට අනුන්ව හොඳට තේරුම් ගන්න පුළුවන්."""
Disgust,"""මගේ අසාර්ථක වීම් ගැන මතක් වෙද්දී මට මාවම පිළිකුල්.""","""අසාර්ථක වීම් කියන්නේ ඉගෙන ගන්න ලැබුණු පාඩම්. ඒ දේවල් වලින් ඔයා ඉගෙන ගත්තේ මොනවාද කියලා අපි බලමු."""
Disgust,"""මම ගොඩක් වෙනස් වෙලා කියලා හිතද්දී මට මාවම පේන්න බෑ.""","""වෙනස් වීම කියන්නේ දියුණුවේ ලකුණක්. ඔයාගේ දැන් තියෙන ගතිගුණ වලින් ඔයා වඩාත්ම කැමති මොනවාටද?"""
Disgust,"""මම ආදරේ කරන කෙනෙක්ට මගෙන් රිදුණ එක ගැන මට මාවම පිළිකුල්.""","""පසුතැවෙන එකෙන් පේන්නේ ඔයා එයාට ගොඩක් ආදරෙයි කියලා. එයාගෙන් සමාව අරන් ආයෙත් ඒ වැරැද්ද නොවෙයි කියලා පොරොන්දු වෙන්න."""
Disgust,"""ඉන්ටර්නෙට් එකේ මෙච්චර වෙලාවක් නාස්ති කළා කියලා හිතද්දී මට මාවම පේන්න බෑ.""","""ඒක ඕනෑම කෙනෙක්ට වෙන්න පුළුවන් දෙයක්. ඔයාටම බැනගන්නේ නැතුව, ඊළඟ සැරේ ෆෝන් එක පාවිච්චි කරන වෙලාවට පොඩි ලිමිට් (limit) එකක් දාගන්න."""
Disgust,"""මම ගත්ත තීරණ ගැන මට මාරම පිළිකුලක් තියෙන්නේ.""","""අපි තීරණ ගන්නේ ඒ වෙලාවේ අපිට තිබුණු දැනුම අනුවයි. ඒ තීරණ වලින් ඉගෙන ගත්තු දේ පාවිච්චි කරලා ඊළඟ තීරණය වඩා හොඳට ගමු."""
Disgust,"""මම මිනිස්සු එක්ක කතා කරන ටෝන් එක ගැන මට මාර වෛරයි.""","""ඔයා ඒ ගැන හිතන එකම හොඳයි. ඊළඟ සැරේ මොනවා හරි කියන්න කලින් පොඩ්ඩක් නතර වෙලා හිතලා බලන්න පුරුදු වෙමු."""
Disgust,"""මම ආයෙත් ඕනෑවට වඩා රියැක්ට් කළා කියලා හිතද්දී මට මාවම පිළිකුල්.""","""ඒ පසුතැවීම දියුණු වෙන්න පාවිච්චි කරන්න. ඔයාට එහෙම කේන්ති ගියේ ඇයි කියලා පොඩ්ඩක් හිතලා බලන්න."""
Disgust,"""මම දුන්න පොරොන්දුව කඩපු එක ගැන මට මාර තරහයි.""","""තමන් ගැනම කලකිරෙන එක රිදෙනවා තමයි. ඒත් ඒක නිවැරදි කරන්න ඔයාට තාම පුළුවන්. වගකීම් ගන්න එකෙන් ඔයාගේ පෞරුෂය දියුණු වෙනවා."""
Disgust,"""මට මේ තරම් අනාරක්ෂිත බවක් දැනෙන එක ගැන මට මාවම පේන්න බෑ.""","""අනාරක්ෂිත බවක් දැනෙන්නේ ඔයා යම් දෙයක් ගැන ගොඩක් හිතන නිසයි. ඒ බය නැති කරගන්න අපිට මොකක්ද කරන්න පුළුවන්?"""
Disgust,"""මගේ වැරදි ගැන මට මාර කණගාටුයි.""","""වැරදි කියන්නේ ඔයා උත්සාහ කරනවා කියන එකට සාක්ෂියක්. ඒ වැරදි වලින් ඔයා ඉගෙන ගත්ත දේ දිහා බලන්න උත්සාහ කරන්න."""
Disgust,"""ස්ට්‍රෙස් වෙලා ඉද්දී මම හැසිරෙන විදිහට මම පොඩ්ඩක්වත් කැමති නෑ.""","""ස්ට්‍රෙස් එක නිසා අපේ නරක පැති එළියට එන්න පුළුවන්. ඔයා දැන් ඒ ගැන දන්න නිසා ඊළඟ පාර මීට වඩා හොඳට ඒක පාලනය කරගන්න පුළුවන් වෙයි."""
Disgust,"""මම වැඩ කරපු විදිහ ගැන මට මාරම පිළිකුලක් දැනෙන්නේ.""","""ඒ හැඟීමෙන් පේන්නේ ඔයා වගකීමක් ගන්න ලෑස්තියි කියන එකයි. ආයෙත් ඒ වගේ තත්වයක් ආවොත් ඔයා මොකක්ද කරන්න කැමති?"""
Disgust,"""මම ආයෙත් වැඩ කල් දාපු එක ගැන මට මාවම පිළිකුල්.""","""වැඩ කල් දාන එක හැමෝටම වෙනවා. ඇයි ඔයාට ඒ වැඩේ කරන්න අමාරු වුණේ කියලා අපි හෙමින් හිතලා බලමු."""
Disgust,"""අනිත් අය එක්ක මාව සසඳන එක මට දරාගන්නම බෑ.""","""සංසන්දනය කිරීම හරිම වේදනාකාරීයි. ඒ වෙනුවට ඔයා සතු කරගත්තු දේවල් සහ ඔයාගේ දක්ෂතා ගැන හිතන්න උත්සාහ කරන්න."""
Disgust,"""යාළුවා එක්ක රණ්ඩු වුණාට පස්සේ මට මාරම අප්සෙට්.""","""රණ්ඩු වුණාම හිතට හරි නෑ තමයි. ඒ යාළුකම ආයෙත් හදාගන්න ඔයාට කරන්න පුළුවන් දේ ගැන අපි හිතමු."""
Disgust,"""මගේ කාමරේ මෙච්චර අවුල් සහගත එක ගැන මට මාර වෛරයි.""","""කාමරේ අවුල් වුණාම හිතටත් ස්ට්‍රෙස් දැනෙනවා. ඒක අස් කරන්න ඔයාට දැන් ගන්න පුළුවන් පොඩිම පියවර මොකක්ද?"""
Disgust,"""ඊයේ මම හැසිරුණු විදිහ ගැන මට මාවම පිළිකුල්.""","""හැමෝටම වැරදීම් වෙනවා. අනාගතයේදී මීට වඩා හොඳට හැසිරෙන්න මේ අත්දැකීම පාඩමක් කරගමු."""
Disgust,"""අයෙක් මාව විවේචනය කළාම මම රියැක්ට් කරපු විදිහ ගැන මට ලැජ්ජයි.""","""ලැජ්ජා වෙන්න එපා. ඇයි ඔයාට එහෙම හිතුණේ කියලා බලලා ඊළඟ සැරේ මීට වඩා ඉවසීමෙන් ඒක දරාගන්න උත්සාහ කරමු."""
Disgust,"""මම ආදරේ කරන කෙනෙක්ට කෑගහපු එක මට මාරම අප්සෙට්.""","""ඒ කියන්නේ ඔයා ඒ සම්බන්ධයට ගොඩක් වටිනාකමක් දෙනවා කියන එකයි. ඒක නිවැරදි කරන්න ඔයාට දැන් මොකක්ද කරන්න පුළුවන්?"""
Disgust,"""මගේ පරණ වැරදි ගැන හිතද්දී මට මාවම පිළිකුල්.""","""පරණ වැරදි කියන්නේ ඔයා ඉගෙන ගත්තු දේවල්. ඔයා දැන් ඉස්සරට වඩා ගොඩක් දියුණු වෙලා කියලා හිතන්න බැරිද?"""
Disgust,"""මට මගේ හිතේ තියෙන ඊර්ෂ්‍යාව ගැන මාරම පිළිකුලක් තියෙන්නේ.""","""ඊර්ෂ්‍යාව කියන්නේ හිතේ තියෙන බයක් හරි අඩුවක් හරි. අනුන් ගැන හිතන්නේ නැතුව ඔයාගේ ඉලක්ක ගැන විතරක් හිතන්න උත්සාහ කරමු."""
Disgust,"""මගේ කේන්තිය නිසා මම මෝඩ වැඩ කරන එක මට පේන්න බෑ.""","""ස්ට්‍රෙස් එක වැඩි වුණාම කේන්ති යනවා තමයි. හිත සන්සුන් කරගන්න ඔයාට කරන්න පුළුවන් දේවල් කිහිපයක් අපි පුරුදු වෙමුද?"""
Disgust,"""වැදගත් දෙයක් අමතක වුණාම මට මාවම පිළිකුල් දැනෙනවා.""","""අමතක වීම ඕනෑම කෙනෙක්ට වෙන්න පුළුවන්. ඊළඟ සැරේ මේ වගේ දේවල් මතක තියාගන්න අපි මොකක් හරි ක්‍රමයක් හදාගමු."""
Disgust,"""අද මගේ තියෙන මේ කම්මැලිකම ගැන මට මාවම පේන්න බෑ.""","""සමහර දවස්වලට අපේ ශක්තිය අඩු වෙන්න පුළුවන්. හිත හදාගන්න ඔයාට අද කරන්න පුළුවන් එකම එක පොඩි වැඩක් තෝරාගමු."""
Disgust,"""කවුරු හරි මාව ප්‍රතික්ෂේප කළාම මම හැසිරෙන විදිහට මම වෛර කරනවා.""","""ප්‍රතික්ෂේප වීම දරාගන්න අමාරුයි තමයි. ඊළඟ සැරේ ඒ වගේ වෙලාවක සන්සුන්ව ඉන්න අපිට මොකක්ද කරන්න පුළුවන්?"""
Disgust,"""මම ඒ සිද්ධිය හසුරුවපු විදිහ ගැන මට මාරම කණගාටුයි.""","""ඔයාට දියුණු වෙන්න ඕනකම තියෙනවා කියලා ඒකෙන් පේනවා. ආයෙත් ඒ වගේ දෙයක් වුණොත් ඔයා කොහොමද ඒක කරන්නේ?"""
Disgust,"""ඊයේ මගේ හැසිරීම ගැන මට මාර ලැජ්ජාවක් දැනෙන්නේ.""","""පසුතැවෙන එක සාමාන්‍යයි. ඔයාටම බනින්නේ නැතුව, ඒ වුණ දේ පිළිගෙන ඉස්සරහට යන්න බලමු."""
Disgust,"""මීටින් එකේදී මම හැසිරුණු විදිහ මට මාවම පිළිකුල්.""","""හැමෝටම වැරදීම් වෙනවා. ඒක එක අත්දැකීමක් විතරයි කියලා හිතලා, ඊළඟ සැරේ වඩා හොඳට කරන්න උත්සාහ කරමු."""
Disgust,"""මගේ පුරුදු ගැන හිතද්දී මට මාවම පිළිකුල් දැනෙනවා.""","""ඔයාටම දොස් පවරගන්න එපා. පුරුදු කියන්නේ අපිට වෙනස් කරන්න පුළුවන් දේවල්. හෙමින් සැරේ ඒවා වෙනස් කරමු."""
